godlike,legendary,world-class,professional,good,ok,beginner
00:14:03,00:14:07,00:14:12,00:14:18,00:14:36,00:14:58,00:15:45
00:14:78,00:15:05,00:15:30,00:15:80,00:17:00,00:17:50,00:19:15
00:17:62,00:17:85,00:18:05,00:18:20,00:19:00,00:20:80,00:24:00
00:29:39,00:29:90,00:30:30,00:30.70,00:31:60,00:33:50,00:35:00
00:19:88,00:20:00,00:20:50,00:20:95,00:22:00,00:23:40,00:25:50
00:30:30,00:30:95,00:32:30,00:33:50,00:34:70,00:36:00,00:50:00
00:27:90,00:31:00,00:33:90,00:35:00,00:36:50,00:38:00,00:42:00
00:20:65,00:20:90,00:21:15,00:21:90,00:23:00,00:24:00,00:27:00
00:50:50,00:56:20,00:59:50,01:02:00,01:06:00,01:10:00,01:22:00
00:10:62,00:10:90,00:12:20,00:13:00,00:15:00,00:30:00,00:38:00
00:22:60,00:23:60,00:24:80,00:25:70,00:26:80,00:28:50,00:33:50
00:20:75,00:21:05,00:21:60,00:22:40,00:24:00,00:26:00,00:29:00
00:13:99,00:14:35,00:15:75,00:16:30,00:17:50,00:19:50,00:22:50
00:17:67,00:17:86,00:18:10,00:18:30,00:19:00,00:21:00,00:24:00
00:49:50,00:53:50,00:56:50,01:01:00,01:08:00,01:11:50,01:25:00
01:23:50,01:25:90,01:29:50,01:32:00,01:34:50,01:39:00,01:48:00
00:53:10,00:54:40,00:56:00,00:58:00,01:00:00,01:02:00,01:10:00
00:44:35,00:44:70,00:45:25,00:45:90,00:47:00,00:49:00,00:57:00
00:36:30,00:37:10,00:38:40,00:39:70,00:42:00,00:44:50,00:55:00
00:57:50,00:59:90,01:03:50,01:07:00,01:12:00,01:18:00,01:35:00
00:14:40,00:14:50,00:14:70,00:15:05,00:17:00,00:20:00,00:35:00
00:38:80,00:39:35,00:40:30,00:41:50,00:43:50,00:46:00,00:56:00
00:35:60,00:36:50,00:38:40,00:41:00,00:51:00,00:56:00,01:05:00
00:41:10,00:45:50,00:54:20,00:56:50,01:02:00,01:10:00,01:25:00
00:24:28,00:24:55,00:24:90,00:26:20,00:30:00,00:32:00,00:38:00
00:22:00,00:22:70,00:24:20,00:25:50,00:27:80,00:32:00,00:42:00
00:33:40,00:34:70,00:36:50,00:37:60,00:39:00,00:44:00,01:00:00
00:46:90,00:49:90,00:52:30,00:53:90,00:57:00,01:01:00,01:17:00
00:42:05,00:43:50,00:45:90,00:47:80,00:54:00,01:10:00,01:40:00
00:29:50,00:31:90,00:33:40,00:33:65,00:34:90,00:36:50,00:43:00
01:11:50,01:16:00,01:20:00,01:23:00,01:29:00,01:37:00,01:52:00
00:42:45,00:42:85,00:43:45,00:43:80,00:44:40,00:46:50,00:51:00
00:54:40,00:58:90,01:02:00,01:07:50,01:25:00,02:00:00,02:35:00
00:36:44,00:36:85,00:37:50,00:38:30,00:40:00,00:43:00,00:54:00
02:13:60,02:17:50,02:24:00,02:32:50,02:45:00,03:28:00,04:40:00
00:57:25,00:58:20,00:59:40,01:00:50,01:03:00,01:09:00,01:35:00
00:53:25,00:54:35,00:56:00,00:58:00,01:01:20,01:11:00,01:48:00
00:29:00,00:29:60,00:30:50,00:31:75,00:34:50,00:38:00,00:55:00
00:39:35,00:40:20,00:41:50,00:43:20,00:47:00,00:54:00,01:09:00
01:20:90,01:23:50,01:26:60,01:28:80,01:33:50,01:40:00,01:59:00
00:38:25,00:38:70,00:39:60,00:40:50,00:42:00,00:45:00,00:57:00
00:47:40,00:48:20,00:49:30,00:51:20,00:54:00,00:59:00,01:20:00
00:55:75,00:56:70,00:58:30,00:59:50,01:03:50,01:09:00,01:30:00
00:11:50,00:11:65,00:11:80,00:12:50,00:19:00,00:36:00,00:43:00
00:32:45,00:32:70,00:32:90,00:33:20,00:34:30,00:36:50,00:42:00
00:52:80,00:55:00,00:57:00,01:05:00,01:12:00,01:26:00,01:49:00
00:19:30,00:19:60,00:19:95,00:24:50,00:33:00,01:00:00,01:30:00
00:43:50,00:47:20,00:49:40,00:54:00,01:05:00,01:18:00,01:55:00
00:38:10,00:38:80,00:40:50,00:42:00,00:45:00,00:50:00,01:01:00
00:50:70,00:53:80,00:56:30,00:58:50,01:02:00,01:08:00,01:20:00
00:42:20,00:43:20,00:44:85,00:46:00,00:55:00,01:05:00,01:24:00
00:24:35,00:24:75,00:25:40,00:26:35,00:28:50,00:34:00,00:44:00
00:17:10,00:17:30,00:17:55,00:18:25,00:19:70,00:22:00,00:28:00
01:14:50,01:21:00,01:34:00,01:39:00,01:55:00,02:18:00,04:45:00